,Bankruptcies_Bankruptcies,ConsumerConsumption_Domestic_consumption_by_households_VolumeChangesShoppingdayAdjusted_3,ConsumerConsumption_Consumption_of_goods_by_households_VolumeChangesShoppingdayAdjusted_3,"ConsumerConsumption_Foodproducts,_beverages_and_tabacco_VolumeChangesShoppingdayAdjusted_3",ConsumerConsumption_Durable_consumer_goods_VolumeChangesShoppingdayAdjusted_3,ConsumerConsumption_Textiles_and_clothing_VolumeChanges_2,ConsumerConsumption_Leather_goods_and_footwear_VolumeChanges_2,ConsumerConsumption_Home_furnishing_and_home_decoration_VolumeChanges_2,ConsumerConsumption_Electrical_equipment_VolumeChanges_2,ConsumerConsumption_Vehicles_VolumeChanges_2,ConsumerConsumption_Other_goods_VolumeChangesShoppingdayAdjusted_3,"ConsumerConsumption_Electricity,_gas,_water_and_motor_fuels_VolumeChanges_2",ConsumerConsumption_Personal_care_and_other_goods_VolumeChanges_2,ConsumerConsumption_Consumption_of_services_by_households_VolumeChangesShoppingdayAdjusted_3,ConsumerConfidence_Consumentenvertrouwen_1,ConsumerConfidence_EconomischKlimaat_2,ConsumerConfidence_Koopbereidheid_3,ConsumerConfidence_EconomischeSituatieLaatste12Maanden_4,ConsumerConfidence_EconomischeSituatieKomende12Maanden_5,ConsumerConfidence_FinancieleSituatieLaatste12Maanden_6,ConsumerConfidence_FinancieleSituatieKomende12Maanden_7,ConsumerConfidence_GunstigeTijdVoorGroteAankopen_8,CPI_CPI_1,Employment_Employment_allGenders_15 to 74 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_allGenders_15 to 74 years_SeasonallyAdjusted_12_Gross_Labor_Particp,Employment_Employment_allGenders_15 to 74 years_SeasonallyAdjusted_14_Net_Labor_Particp,Employment_Employment_allGenders_15 to 24 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_allGenders_25 to 44 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_allGenders_45 to 74 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_allGenders_45 to 74 years_SeasonallyAdjusted_12_Gross_Labor_Particp,Employment_Employment_allGenders_45 to 74 years_SeasonallyAdjusted_14_Net_Labor_Particp,Employment_Employment_female_15 to 74 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_female_15 to 74 years_SeasonallyAdjusted_12_Gross_Labor_Particp,Employment_Employment_female_15 to 74 years_SeasonallyAdjusted_14_Net_Labor_Particp,Employment_Employment_female_15 to 24 years_SeasonallyAdjusted_6_Unemployed_Labor_Force,Employment_Employment_female_15 to 24 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_female_25 to 44 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_female_45 to 74 years_SeasonallyAdjusted_6_Unemployed_Labor_Force,Employment_Employment_female_45 to 74 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_female_45 to 74 years_SeasonallyAdjusted_12_Gross_Labor_Particp,Employment_Employment_female_45 to 74 years_SeasonallyAdjusted_14_Net_Labor_Particp,ProducerConfidence_ProducerConfidence_1,ProducerConfidence_ExpectedActivity_2,BusinessInterestRates_BigBusinessInterestRate,BusinessInterestRates_Deposit rate,BusinessInterestRates_Main refinancing operations: Variable rate tenders weighted average interest rate,BusinessInterestRates_Marginal lending rate,BusinessInterestRates_Main refinancing operations: Variable rate tenders marginal interest rate,BusinessInterestRates_Main refinancing operations: Fixed rate tenders,BusinessInterestRates_Main refinancing operations: Variable rate tenders minimum bid rate,BusinessInterestRates_Rente op uitstaande bedragen (percentages),BusinessInterestRates_HousingInterestRatesNLD,MoneySupply_M3_1,MoneySupply_M3_2,MoneySupply_M1,InternationalMoneyMarketIntRates_EuropeanArea_MoneyMarketIntRates_Intr_M1,InternationalMoneyMarketIntRates_EuropeanArea_MoneyMarketIntRates_Intr_M12,InternationalMoneyMarketIntRates_EuropeanArea_MoneyMarketIntRates_Intr_M3,InternationalMoneyMarketIntRates_EuropeanArea_MoneyMarketIntRates_Intr_M6,LeadingEconomicIndicators_ConsumLeadIndicator_NLD,LeadingEconomicIndicators_BusinessLeadIndicator_NLD,LeadingEconomicIndicators_BusinessLeadIndicator_DEU,LeadingEconomicIndicators_ConsumLeadIndicator_DEU,InternationalUnemploymentIndicators_Germany_unemply_F,InternationalUnemploymentIndicators_Germany_unemply_M,InternationalUnemploymentIndicators_France_unemply_F,InternationalUnemploymentIndicators_France_unemply_M,InternationalUnemploymentIndicators_Italy_unemply_F,InternationalUnemploymentIndicators_Italy_unemply_M,InternationalUnemploymentIndicators_Spain_unemply_F,InternationalUnemploymentIndicators_Spain_unemply_M,InternationalUnemploymentIndicators_Belgium_unemply_F,InternationalUnemploymentIndicators_Belgium_unemply_M,InternationalUnemploymentIndicators_Japan_unemply_F,InternationalUnemploymentIndicators_Japan_unemply_M,InternationalUnemploymentIndicators_United States_unemply_F,InternationalUnemploymentIndicators_United States_unemply_M,"InternationalEnergyIndicators_Crude oil, average","InternationalEnergyIndicators_Crude oil, Brent","InternationalEnergyIndicators_Crude oil, Dubai","InternationalEnergyIndicators_Crude oil, WTI","InternationalEnergyIndicators_Coal, Australian","InternationalEnergyIndicators_Coal, South African **","InternationalEnergyIndicators_Natural gas, US","InternationalEnergyIndicators_Natural gas, Europe","InternationalEnergyIndicators_Liquefied natural gas, Japan",InternationalEnergyIndicators_Natural gas index,InternationalMetals_Aluminum,"InternationalMetals_Iron ore, cfr spot",InternationalMetals_Copper,InternationalMetals_Lead,InternationalMetals_Tin,InternationalMetals_Nickel,InternationalMetals_Zinc,InternationalMetals_Gold,InternationalMetals_Platinum,InternationalMetals_Silver
1995-01-01,514.0,,,,,,,,,,,,,,2.0,7.0,-1.0,-1.0,15.0,-4.0,6.0,-6.0,,,,,,,,,,,,,,,,,,,,3.5,11.6,,,,,,,,,,225019.0,208446.0,58686.0,6.37,7.66,6.66,7.06,100.8806,100.8639,100.7038,99.80259,9.8,7.0,11.7,9.3,15.4,8.7,28.9,16.9,12.6,7.6,3.0,2.9,5.6,5.6,16.9,16.63,16.08,17.99,37.1,34.0,1.51,2.66,3.36,33.25843988593,2060.55,28.38,3008.93,666.6,6199.3,9592.55,1156.5,378.55,413.9,4.7731
1995-02-01,453.0,,,,,,,,,,,,,,8.0,16.0,2.0,10.0,23.0,-1.0,10.0,-3.0,,,,,,,,,,,,,,,,,,,,3.5,10.4,,,,,,,,,,227807.0,211192.0,60214.0,6.36,7.5,6.59,6.92,100.9999,100.8999,100.657,99.73992,9.8,6.9,11.7,9.2,15.4,8.7,28.6,16.7,12.6,7.6,3.0,2.9,5.5,5.4,17.41666666667,17.08,16.64,18.53,37.6,34.5,1.58,2.66,3.4,34.13557575765,1916.15,28.38,2877.65,579.9,5478.3,8505.45,1032.2,376.64,413.97,4.7215
1995-03-01,565.0,,,,,,,,,,,,,,12.0,23.0,5.0,19.0,26.0,3.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,3.1,10.7,,,,,,,,,,225759.0,209071.0,59592.0,7.42,8.02,7.58,7.74,101.0782,100.8983,100.5136,99.8495,9.7,6.8,11.6,9.3,15.5,8.8,28.2,16.4,12.6,7.6,3.2,3.0,5.5,5.3,17.34666666667,17.01,16.49,18.54,38.35,34.75,1.54,2.65,3.46,33.64295076015,1805.07,28.38,2924.04,585.6,5532.4,7531.91,1022.2,382.12,416.89,4.6485
1995-04-01,478.0,,,,,,,,,,,,,,11.0,18.0,6.0,16.0,20.0,3.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,3.5,11.2,,,,,,,,,,225604.0,208766.0,60887.0,7.14,7.63,7.29,7.39,101.0469,100.8186,100.3139,99.96301,9.7,6.9,11.8,9.3,15.3,8.5,27.7,16.3,12.6,7.5,3.1,3.1,5.9,5.6,18.64666666667,18.67,17.4,19.87,37.1,35.0,1.62,2.71,3.45,34.89288400053,1849.0,28.38,2903.5,608.5,5872.1,7397.83,1061.4,391.03,448.29,5.4777
1995-05-01,443.0,,,,,,,,,,,,,,12.0,20.0,7.0,18.0,21.0,5.0,11.0,4.0,,,,,,,,,,,,,,,,,,,,3.1,13.5,,,,,,,,,,230172.0,213286.0,64992.0,7.01,7.25,7.04,7.09,101.043,100.703,100.1639,100.0336,9.6,6.9,11.7,9.4,15.3,8.5,27.6,16.3,12.6,7.5,3.1,2.9,5.5,5.8,18.42333333333,18.38,17.25,19.64,38.77,35.0,1.64,2.71,3.53,35.18995098713,1762.69,28.38,2773.31,596.5,5926.5,7232.19,1036.2,385.22,437.35,5.5598
1995-06-01,455.0,,,,,,,,,,,,,,9.0,14.0,6.0,13.0,15.0,4.0,12.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,,,,,,228130.0,211055.0,63261.0,7.05,7.24,7.08,7.11,101.0161,100.599,100.0042,100.0798,9.6,7.0,11.7,9.4,15.3,8.6,27.8,16.3,12.6,7.5,3.3,3.0,5.7,5.6,17.36333333333,17.35,16.24,18.5,40.77,34.89,1.62,2.73,3.56,35.06248779812,1780.05,28.38,2994.64,611.8,6670.7,7871.57,1009.6,387.56,438.53,5.3637
1995-07-01,476.0,,,,,,,,,,,,,,10.0,13.0,8.0,14.0,12.0,7.0,13.0,4.0,,,,,,,,,,,,,,,,,,,,-0.1,6.1,,,,,,,,,,228742.0,211923.0,62137.0,6.86,7.16,6.92,6.99,101.0252,100.5499,99.83002,100.0576,9.6,7.1,11.9,9.5,15.4,8.6,27.9,16.4,12.6,7.5,3.2,3.1,5.8,5.6,16.08333333333,15.86,14.97,17.42,41.05,36.15,1.44,2.8,3.48,33.15525920301,1860.1,28.38,3075.67,621.9,6668.9,8596.57,1026.8,386.23,433.63,5.1648
1995-08-01,506.0,,,,,,,,,,,,,,14.0,19.0,10.0,19.0,20.0,9.0,15.0,6.0,,,,,,,,,,,,,,,,,,,,-1.6,3.5,,,,,,,,,,229502.0,212709.0,62548.0,6.63,6.83,6.66,6.71,101.148,100.5096,99.68758,99.92953,9.6,7.2,11.8,9.5,15.4,8.6,27.9,16.5,12.7,7.6,3.4,3.1,5.6,5.7,16.46666666667,16.07,15.37,17.96,40.88,35.7,1.56,2.8,3.46,34.59891407807,1888.32,28.38,3036.84,623.6,6992.3,8944.66,1014.4,383.67,425.34,5.3982
1995-09-01,510.0,,,,,,,,,,,,,,14.0,18.0,11.0,17.0,19.0,9.0,15.0,7.0,,,,,,,,,,,,,,,,,,,,-2.0,5.8,,,,,,,,,,229220.0,212315.0,63230.0,6.48,6.59,6.5,6.54,101.2525,100.471,99.56871,99.78293,9.6,7.3,11.8,9.6,15.4,8.6,27.9,16.6,12.7,7.6,3.4,3.1,5.7,5.6,16.82,16.78,15.65,18.03,40.93,35.93,1.64,2.78,3.46,35.47530446817,1760.83,28.38,2915.52,592.7,6328.1,8405.21,986.2,383.06,429.65,5.4295
1995-10-01,528.0,,,,,,,,,,,,,,17.0,25.0,12.0,23.0,26.0,10.0,17.0,9.0,,,,,,,,,,,,,,,,,,,,-2.0,6.4,,,,,,,,,,232289.0,215714.0,63527.0,6.69,6.76,6.75,6.78,101.3136,100.4586,99.49506,99.59262,9.6,7.4,12.0,9.7,15.3,8.6,27.8,16.5,12.8,7.7,3.3,3.2,5.7,5.4,16.12333333333,16.12,14.92,17.33,40.97,35.75,1.77,2.75,3.45,36.90454884217,1674.32,28.38,2813.55,639.1,6220.7,8061.73,979.1,383.14,412.66,5.3741
1995-11-01,515.0,,,,,,,,,,,,,,17.0,24.0,11.0,23.0,25.0,10.0,17.0,8.0,,,,,,,,,,,,,,,,,,,,-1.1,8.5,,,,,,,,,,233674.0,216956.0,65702.0,6.42,6.43,6.45,6.43,101.22,100.4577,99.36895,99.30981,9.6,7.5,12.0,9.7,15.3,8.6,27.6,16.5,12.9,7.7,3.4,3.4,5.5,5.7,16.74333333333,16.88,15.56,17.79,39.59,36.07,2.04,2.75,3.41,40.1561597815,1654.07,28.38,2977.36,713.6,6386.9,8505.91,1030.7,385.31,413.12,5.3151
1995-12-01,404.0,,,,,,,,,,,,,,11.0,16.0,7.0,12.0,19.0,5.0,13.0,3.0,,,,,,,,,,,,,,,,,,,,-2.1,7.2,,,,,,,,,,234952.0,217799.0,67907.0,6.38,6.21,6.32,6.26,100.9626,100.4108,99.14024,98.91779,9.6,7.6,11.9,9.7,15.3,8.6,27.4,16.3,12.8,7.7,3.4,3.4,5.5,5.7,17.86666666667,17.96,16.81,18.83,39.35,35.01,2.71,2.73,3.37,48.1700404625,1656.74,28.38,2926.26,731.6,6289.5,8090.89,1018.1,387.44,408.71,5.1769
1996-01-01,494.0,,,,,,,,,,,,,,9.0,13.0,6.0,10.0,16.0,5.0,11.0,2.0,68.03,,,,,,,,,,,,,,,,,,,-1.4,10.7,,,,,,,,,,236544.0,220063.0,68963.0,5.87,5.69,5.81,5.73,100.7275,100.3441,98.83924,98.50311,9.6,7.7,11.9,9.6,15.3,8.4,27.2,16.3,12.9,7.8,3.6,3.4,5.8,5.6,17.8,17.94,16.57,18.89,39.37,34.75,2.93,2.75,3.43,50.97731160984,1589.34,30.0,2616.41,709.5,6271.6,7862.05,1019.1,399.45,415.48,5.4605
1996-02-01,440.0,,,,,,,,,,,,,,4.0,1.0,5.0,-1.0,3.0,4.0,11.0,1.0,68.29,,,,,,,,,,,,,,,,,,,-2.8,8.7,,,,,,,,,,237964.0,221462.0,69342.0,5.63,5.56,5.58,5.54,100.5393,100.2261,98.53745,98.28223,9.6,7.8,11.9,9.6,15.3,8.4,26.9,16.3,12.9,7.8,3.4,3.3,5.4,5.6,17.69666666667,17.97,16.05,19.07,39.28,34.25,4.4,2.77,3.48,68.95702403339,1591.55,30.0,2537.71,769.7,6195.5,8215.55,1035.8,404.76,420.21,5.6567
1996-03-01,477.0,,,,,,,,,,,,,,-2.0,-13.0,4.0,-13.0,-12.0,2.0,9.0,1.0,68.92,,,,,,,,,,,,,,,,,,,-2.2,8.7,,,,,,,,,,239435.0,222735.0,69905.0,5.5,5.55,5.5,5.49,100.3937,100.1127,98.32229,98.28535,9.6,7.9,11.9,9.7,15.3,8.4,26.9,16.2,12.8,7.7,3.2,3.3,5.3,5.6,19.4,19.99,17.05,21.16,39.01,32.92,2.95,2.67,3.47,50.8669610417,1612.48,30.0,2561.02,817.9,6196.4,8021.74,1063.9,396.21,411.19,5.5241
1996-04-01,437.0,,,,,,,,,,,,,,-4.0,-19.0,6.0,-19.0,-20.0,5.0,11.0,2.0,69.13,,,,,,,,,,,,,,,,,,,-2.2,10.1,,,,,,,,,,241724.0,224998.0,71603.0,5.32,5.32,5.27,5.26,100.4167,100.0457,98.24938,98.2887,9.6,8.0,12.1,9.9,15.4,8.8,26.7,16.1,12.8,7.6,3.5,3.3,5.5,5.6,20.66,21.01,17.77,23.2,39.33,33.67,2.23,3.1,3.56,44.22891509624,1587.23,30.0,2595.78,815.0,6480.9,8042.85,1045.4,392.85,404.39,5.4209
1996-05-01,482.0,,,,,,,,,,,,,,0.0,-10.0,6.0,-12.0,-9.0,5.0,13.0,1.0,68.96,,,,,,,,,,,,,,,,,,,-2.2,7.5,,,,,,,,,,246226.0,229278.0,76692.0,5.15,5.07,5.06,5.03,100.5707,100.0873,98.27809,98.2539,9.7,8.1,12.1,9.9,15.4,8.8,26.7,16.1,12.7,7.5,3.3,3.5,5.5,5.6,19.06333333333,19.12,16.99,21.08,38.2,33.28,2.24,2.81,3.6,42.99879659653,1589.26,30.0,2658.26,840.2,6412.4,8026.55,1035.8,391.93,401.42,5.3652
1996-06-01,454.0,,,,,,,,,,,,,,4.0,-2.0,8.0,-4.0,0.0,6.0,15.0,4.0,68.67,,,,,,,,,,,,,,,,,,,-2.6,5.3,,,,,,,,,,246809.0,229641.0,76686.0,5.11,5.19,5.08,5.08,100.72,100.1992,98.35602,98.24757,9.7,8.1,12.1,10.0,15.4,8.8,27.0,16.0,12.6,7.4,3.3,3.5,5.3,5.3,18.51333333333,18.27,17.0,20.27,38.2,32.4,2.49,2.81,3.6,46.03463983995,1482.48,30.0,2173.4,796.5,6191.9,7709.48,1008.5,385.27,392.25,5.1615
1996-07-01,450.0,,,,,,,,,,,,,,9.0,7.0,10.0,4.0,10.0,7.0,18.0,6.0,68.84,,,,,,,,,,,,,,,,,,,-2.2,6.7,,,,,,,,,,247177.0,230293.0,75610.0,5.09,5.18,5.06,5.07,100.8711,100.3261,98.49522,98.30309,9.8,8.2,12.1,9.9,15.0,8.7,27.1,15.8,12.5,7.3,3.5,3.3,5.4,5.5,19.58666666667,19.61,17.79,21.36,38.4,32.1,2.48,2.78,3.61,45.77736187941,1458.7,30.0,1985.57,783.7,6250.2,7203.65,1000.1,383.47,393.66,5.0653
1996-08-01,438.0,,,,,,,,,,,,,,9.0,7.0,11.0,3.0,10.0,8.0,18.0,6.0,68.75,,,,,,,,,,,,,,,,,,,0.0,11.4,,,,,,,,,,246701.0,229779.0,73902.0,5.07,5.16,5.08,5.1,101.024,100.4096,98.6593,98.40769,9.9,8.3,12.0,9.9,15.0,8.7,26.7,15.5,12.4,7.3,3.2,3.3,5.3,5.0,20.44,20.58,18.77,21.97,38.35,32.03,2.03,2.79,3.68,40.40780835139,1463.36,30.0,2008.57,815.7,6110.2,7054.36,1006.9,387.35,400.03,5.1354
1996-09-01,454.0,,,,,,,,,,,,,,12.0,13.0,11.0,10.0,17.0,9.0,20.0,5.0,69.37,,,,,,,,,,,,,,,,,,,-1.8,7.3,,,,,,,,,,247089.0,230383.0,75855.0,4.84,4.96,4.86,4.88,101.1961,100.3711,98.83392,98.44694,10.0,8.4,12.0,9.9,15.0,8.7,26.6,15.5,12.3,7.3,3.3,3.3,5.2,5.2,22.25666666667,22.59,20.26,23.92,38.1,33.38,1.84,2.79,3.68,38.10056748639,1407.38,30.0,1941.45,796.4,6101.9,7318.05,1000.3,383.14,389.86,5.0388
1996-10-01,550.0,,,,,,,,,,,,,,17.0,24.0,12.0,19.0,28.0,8.0,22.0,7.0,69.53,,,,,,,,,,,,,,,,,,,-1.7,7.4,,,,,,,,,,247041.0,230371.0,75608.0,4.71,4.67,4.69,4.66,101.343,100.3269,98.99088,98.36939,10.1,8.5,12.0,9.9,15.2,8.7,26.3,15.4,12.2,7.2,3.4,3.4,5.4,5.1,23.61,24.18,21.71,24.94,37.6,34.25,2.37,2.94,3.79,45.32417537068,1336.34,30.0,1961.17,741.9,5941.9,7031.39,1003.1,381.07,384.18,4.9276
1996-11-01,455.0,,,,,,,,,,,,,,15.0,20.0,11.0,18.0,23.0,8.0,20.0,5.0,69.45,,,,,,,,,,,,,,,,,,,-0.5,8.6,,,,,,,,,,248153.0,231253.0,77345.0,4.59,4.54,4.57,4.53,101.3322,100.3593,99.08834,98.24352,10.2,8.6,12.0,9.9,15.2,8.7,25.9,15.3,12.1,7.2,3.3,3.3,5.4,5.3,22.39,22.64,20.87,23.66,35.7,34.14,3.03,2.96,4.03,53.59647956246,1449.52,30.0,2230.86,716.6,5991.7,6943.38,1046.5,377.85,381.98,4.8332
1996-12-01,446.0,,,,,,,,,,,,,,14.0,21.0,9.0,21.0,21.0,6.0,18.0,3.0,69.37,,,,,,,,,,,,,,,,,,,-1.7,6.4,,,,,,,,,,248126.0,230963.0,79436.0,4.6,4.39,4.5,4.42,101.3231,100.4513,99.20504,98.12366,10.3,8.7,12.0,9.9,15.2,8.7,25.7,15.1,12.0,7.2,3.4,3.3,5.7,5.0,23.62333333333,23.9,21.65,25.32,35.35,35.04,3.82,2.96,4.08,63.22361891611,1500.29,30.0,2268.08,688.8,5836.3,6580.75,1036.3,369.0,370.7,4.8264
1997-01-01,536.0,,,,,,,,,,,,,,17.0,26.0,10.0,26.0,26.0,8.0,20.0,4.0,69.45,,,,,,,,,,,,,,,,,,,1.3,14.9,,,,,,,,,,252910.0,236145.0,79894.0,4.47,4.25,4.39,4.31,101.456,100.6112,99.37301,98.06055,10.4,8.8,12.1,10.0,15.3,8.7,25.3,14.9,11.9,7.2,3.4,3.3,5.3,5.3,23.22666666667,23.47,21.28,24.93,35.23,34.57,3.31,2.89,4.13,56.73159533672,1575.61,30.15,2434.93,692.3,5877.7,7071.55,1086.5,355.11,360.1,4.7747
1997-02-01,477.0,,,,,,,,,,,,,,19.0,27.0,13.0,26.0,28.0,11.0,20.0,7.0,69.59,,,,,,,,,,,,,,,,,,,1.3,12.9,,,,,,,,,,254546.0,237719.0,79861.0,4.48,4.32,4.43,4.36,101.5831,100.749,99.51907,97.99033,10.4,8.9,12.1,10.0,15.3,8.8,25.2,14.7,11.9,7.2,3.4,3.3,5.4,5.1,20.42,20.83,18.6,21.83,34.6,33.8,2.22,2.89,4.22,43.55629326343,1580.01,30.15,2405.85,660.2,5883.2,7734.53,1179.4,346.58,365.01,5.0722
1997-03-01,437.0,,,,,,,,,,,,,,21.0,29.0,16.0,32.0,26.0,14.0,21.0,13.0,70.12,,,,,,,,,,,,,,,,,,,1.2,11.7,,,,,,,,,,255424.0,238302.0,81143.0,4.51,4.55,4.5,4.5,101.6624,100.8307,99.63479,98.06697,10.5,8.9,12.0,10.0,15.3,8.8,25.0,14.6,11.8,7.2,3.3,3.2,5.2,5.1,19.33,19.21,18.09,20.69,34.5,33.4,1.89,2.83,4.25,39.2840666614,1631.57,30.15,2421.29,694.6,5909.2,7895.87,1254.8,351.81,378.9,5.1962
1997-04-01,470.0,,,,,,,,,,,,,,22.0,31.0,17.0,35.0,27.0,14.0,23.0,12.0,70.2,,,,,,,,,,,,,,,,,,,0.5,9.1,,,,,,,,,,257492.0,240567.0,80672.0,4.38,4.47,4.39,4.41,101.7328,100.8815,99.73529,98.21314,10.5,9.0,12.1,10.0,15.5,8.8,25.1,14.6,11.8,7.2,3.3,3.2,5.0,5.1,17.88,17.47,16.77,19.4,35.4,32.99,2.031,2.77,4.07,40.58909497129,1561.44,30.15,2391.18,642.5,5713.3,7315.52,1240.4,344.47,371.08,4.7726
1997-05-01,481.0,,,,,,,,,,,,,,24.0,35.0,17.0,39.0,30.0,14.0,24.0,12.0,70.36,,,,,,,,,,,,,,,,,,,1.9,11.4,,,,,,,,,,262508.0,245171.0,85957.0,4.3,4.36,4.3,4.32,101.7178,100.9827,99.83671,98.3321,10.6,9.0,12.1,10.0,15.5,8.8,25.1,14.7,11.8,7.2,3.7,3.2,5.2,4.6,19.36743333333,19.1425,18.455,20.5048,35.73,32.53,2.24,2.74,4.03,42.95734098753,1625.25,30.15,2514.33,618.6,5711.2,7482.85,1310.5,343.84,387.5,4.7496
1997-06-01,418.0,,,,,,,,,,,,,,24.0,33.0,18.0,38.0,27.0,16.0,24.0,15.0,70.02,,,,,,,,,,,,,,,,,,,1.2,7.6,,,,,,,,,,260766.0,243434.0,85616.0,4.29,4.33,4.29,4.3,101.7355,101.1271,100.0072,98.35384,10.6,9.0,12.0,10.0,15.5,8.8,25.6,14.6,11.8,7.3,3.5,3.3,5.0,5.0,17.92,17.55,17.34,18.87,34.5,32.28,2.2,2.76,4.03,42.56668551638,1567.55,30.15,2612.62,614.9,5566.1,7062.48,1354.2,340.76,430.76,4.7569
1997-07-01,492.0,,,,,,,,,,,,,,25.0,33.0,20.0,38.0,28.0,17.0,24.0,17.0,70.25,,,,,,,,,,,,,,,,,,,3.5,11.5,,,,,,,,,,263951.0,246752.0,84155.0,4.29,4.32,4.3,4.31,101.8063,101.3055,100.1955,98.42386,10.6,9.0,12.1,10.0,15.0,8.6,25.6,14.2,11.9,7.3,3.4,3.4,5.0,4.8,18.33,18.4,17.29,19.3,35.0,31.27,2.19,2.67,3.89,41.92254509911,1591.99,30.15,2450.46,634.3,5442.7,6835.5,1518.0,324.1,415.52,4.3724
1997-08-01,364.0,,,,,,,,,,,,,,24.0,33.0,19.0,38.0,27.0,17.0,24.0,17.0,70.44,,,,,,,,,,,,,,,,,,,4.0,12.3,,,,,,,,,,263330.0,246131.0,83279.0,4.32,4.49,4.36,4.42,101.8939,101.4254,100.3636,98.59293,10.5,9.0,12.0,10.0,15.0,8.6,25.4,13.9,11.9,7.4,3.4,3.4,4.9,4.8,18.7,18.71,17.77,19.62,36.93,31.03,2.47,2.67,3.69,45.18719071393,1710.58,30.15,2251.2,608.1,5428.4,6761.3,1653.5,324.01,424.55,4.4964
1997-09-01,475.0,,,,,,,,,,,,,,24.0,31.0,20.0,36.0,26.0,19.0,24.0,17.0,71.07,,,,,,,,,,,,,,,,,,,3.7,11.7,,,,,,,,,,262934.0,246009.0,83975.0,4.27,4.42,4.31,4.35,101.995,101.4781,100.5196,98.78559,10.5,9.0,12.0,9.9,15.0,8.6,25.5,13.8,11.9,7.4,3.3,3.5,5.0,4.7,18.66174603175,18.45,17.95,19.58523809524,37.15,29.88,2.84,2.7,3.69,49.82285788588,1610.6,30.15,2107.3,634.3,5496.3,6503.84,1640.9,322.82,424.73,4.7319
1997-10-01,497.0,,,,,,,,,,,,,,25.0,33.0,20.0,38.0,28.0,17.0,25.0,17.0,71.14,,,,,,,,,,,,,,,,,,,4.0,10.5,,,,,,,,,,264814.0,247817.0,83797.0,4.39,4.55,4.44,4.47,102.0085,101.4502,100.6312,98.93871,10.5,9.0,12.1,9.9,15.6,8.6,25.1,13.6,11.9,7.4,3.5,3.5,4.7,4.7,20.04,19.85,19.06,21.21,37.15,29.0,3.04,2.63,3.62,51.8713298271,1607.86,30.15,2052.26,600.3,5561.3,6380.33,1280.1,324.87,423.12,5.0348
1997-11-01,471.0,,,,,,,,,,,,,,26.0,34.0,20.0,38.0,31.0,16.0,26.0,17.0,71.17,,,,,,,,,,,,,,,,,,,3.5,8.7,,,,,,,,,,266087.0,249022.0,84788.0,4.4,4.56,4.49,4.51,101.985,101.3806,100.7143,98.96276,10.5,9.0,12.0,9.9,15.5,8.6,24.7,13.5,11.9,7.4,3.5,3.5,4.7,4.6,19.08666666667,19.0,18.38,19.88,33.6,27.69,3.02,2.66,3.68,51.81173118466,1598.99,30.15,1917.45,563.4,5658.0,6139.5,1173.0,306.04,392.29,5.0779
1997-12-01,429.0,,,,,,,,,,,,,,25.0,33.0,20.0,39.0,28.0,20.0,26.0,14.0,70.95,,,,,,,,,,,,,,,,,,,4.6,11.4,,,,,,,,,,276579.0,259092.0,94412.0,4.35,4.41,4.37,4.37,101.9818,101.3256,100.8035,98.93491,10.5,9.0,11.9,9.9,15.5,8.6,24.3,13.3,12.0,7.4,3.5,3.5,4.8,4.7,17.09,17.0,16.18,18.09,31.4,27.75,2.33,2.65,3.6,43.33106458181,1530.51,30.15,1762.33,526.6,5513.8,5945.36,1102.2,288.74,365.42,5.8368
1998-01-01,415.0,,,,,,,,,,,,,,26.0,34.0,21.0,42.0,27.0,21.0,27.0,15.0,70.71,,,,,,,,,,,,,,,,,,,2.4,7.2,,,,,,,,,,278050.0,261033.0,89719.0,4.25,4.22,4.26,4.23,101.9986,101.2401,100.8449,98.92107,10.5,9.0,12.0,9.8,15.2,8.6,23.6,13.0,12.0,7.5,3.4,3.7,4.8,4.5,15.0,15.09,13.4,16.51,31.4,27.5,2.1,2.65,3.54,40.49743915252,1485.79,31.0,1688.45,531.6,5206.3,5491.75,1097.2,289.1,373.86,5.8871
1998-02-01,423.0,,,,,,,,,,,,,,27.0,36.0,21.0,43.0,29.0,19.0,27.0,16.0,71.11,,,,,,,,,,,,,,,,,,,2.7,9.2,,,,,,,,,,281939.0,264792.0,89233.0,4.24,4.17,4.24,4.19,102.0246,101.1898,100.8286,98.98452,10.5,9.0,11.8,9.8,15.2,8.6,23.3,12.7,12.0,7.5,3.5,3.7,4.8,4.5,14.1,14.06,12.43,15.81,33.44,26.76,2.22,2.63,3.43,41.78504011178,1465.56,31.0,1664.8,516.4,5242.5,5386.88,1044.0,297.49,386.08,6.8069
